file,token,time,sequence,sample,amplitude
01-breathy,1,0.7658710063184306,0,0,0.7814377616143335
01-breathy,1,0.7658710063184306,0,0.1731870127262734,0.000156284777877559
01-breathy,1,0.7658710063184306,0,0.3463740254525468,0.6181916696260257
01-breathy,1,0.7658710063184306,0,0.5195610381788202,0.5015960100462247
01-breathy,1,0.7658710063184306,0,0.6927480509050936,0.6302560543178193
01-breathy,1,0.7658710063184306,0,0.865935063631367,0.84015095224391
01-breathy,1,0.7789642149860406,1,0,0.6324295655016106
01-breathy,1,0.7789642149860406,1,0.11338152203320771,0.5527347079228504
01-breathy,1,0.7789642149860406,1,0.22676304406641543,0.450454282015119
01-breathy,1,0.7789642149860406,1,0.3401445660996231,0.43346786813004645
01-breathy,1,0.7789642149860406,1,0.45352608813283085,0.7436446755885077
01-breathy,1,0.7789642149860406,1,0.5669076101660385,0.34394733056823
01-breathy,1,0.7789642149860406,1,0.6802891321992462,0.4915511032572259
01-breathy,1,0.7789642149860406,1,0.793670654232454,0.4336519019302144
01-breathy,1,0.7789642149860406,1,0.9070521762656617,0.3616614597401148
01-breathy,1,0.7989637145119068,2,0,0.6120693325772129
01-breathy,1,0.7989637145119068,2,0.11355675578044953,0.5114100362689367
01-breathy,1,0.7989637145119068,2,0.22711351156089907,0.4381815640223508
01-breathy,1,0.7989637145119068,2,0.3406702673413486,0.49706919703586644
01-breathy,1,0.7989637145119068,2,0.45422702312179813,0.9996917853463043
01-breathy,1,0.7989637145119068,2,0.5677837789022477,0.33324250705024244
01-breathy,1,0.7989637145119068,2,0.6813405346826972,0.40698502203951503
01-breathy,1,0.7989637145119068,2,0.7948972904631467,0.3663523700768884
01-breathy,1,0.7989637145119068,2,0.9084540462435963,0.23717783290437205
01-breathy,1,0.8189323520496791,3,0,0.3970776079635311
01-breathy,1,0.8189323520496791,3,0.10686045093242479,0.27952430251298427
01-breathy,1,0.8189323520496791,3,0.21372090186484957,0.3079176356760174
01-breathy,1,0.8189323520496791,3,0.3205813527972744,0.42447279253272585
01-breathy,1,0.8189323520496791,3,0.42744180372969914,0.7513422062376214
01-breathy,1,0.8189323520496791,3,0.534302254662124,0.14244164504390044
01-breathy,1,0.8189323520496791,3,0.6411627055945488,0.27401011006524706
01-breathy,1,0.8189323520496791,3,0.7480231565269735,0.313651468241514
01-breathy,1,0.8189323520496791,3,0.8548836074593983,0.4217222525017394
01-breathy,1,0.8189323520496791,3,0.9617440583918231,0.35797167628502913
01-breathy,1,0.84015230457991,4,0,0.8655566243519779
01-breathy,1,0.84015230457991,4,0.12304367421878534,0.7715731168376324
01-breathy,1,0.84015230457991,4,0.24608734843757069,0.8522827164960973
01-breathy,1,0.84015230457991,4,0.36913102265635606,0.7567975957538952
01-breathy,1,0.84015230457991,4,0.49217469687514137,0.6234023804438728
01-breathy,1,0.84015230457991,4,0.6152183710939267,0.6408159939354957
01-breathy,1,0.84015230457991,4,0.7382620453127121,0.869356420788882
01-breathy,1,0.84015230457991,4,0.8613057195314975,0.9402516523413583
01-breathy,1,0.84015230457991,4,0.9843493937502827,0.6328080305363298
01-breathy,2,0.09509458074373525,0,0,0.34063081379497756
01-breathy,2,0.09509458074373525,0,0.022725402842020112,0.3578876815379183
01-breathy,2,0.09509458074373525,0,0.045450805684040224,0.36927729370021134
01-breathy,2,0.09509458074373525,0,0.06817620852606034,0.39740489254783745
01-breathy,2,0.09509458074373525,0,0.09090161136808045,0.39477583520704046
01-breathy,2,0.09509458074373525,0,0.11362701421010056,0.3920448850261063
01-breathy,2,0.09509458074373525,0,0.13635241705212067,0.3873879661037675
01-breathy,2,0.09509458074373525,0,0.15907781989414077,0.41878127735163123
01-breathy,2,0.09509458074373525,0,0.1818032227361609,0.3830832810516566
01-breathy,2,0.09509458074373525,0,0.204528625578181,0.3887575210015901
01-breathy,2,0.09509458074373525,0,0.22725402842020123,0.3964799235885305
01-breathy,2,0.09509458074373525,0,0.24997943126222136,0.319667940910097
01-breathy,2,0.09509458074373525,0,0.27270483410424146,0.3971144081773962
01-breathy,2,0.09509458074373525,0,0.2954302369462616,0.4047960312028143
01-breathy,2,0.09509458074373525,0,0.3181556397882817,0.4006372570901554
01-breathy,2,0.09509458074373525,0,0.3408810426303018,0.39401327562552774
01-breathy,2,0.09509458074373525,0,0.3636064454723219,0.37535766193954184
01-breathy,2,0.09509458074373525,0,0.38633184831434203,0.38852038223030816
01-breathy,2,0.09509458074373525,0,0.40905725115636216,0.3834282902924677
01-breathy,2,0.09509458074373525,0,0.4317826539983822,0.3756084853481457
01-breathy,2,0.09509458074373525,0,0.45450805684040235,0.6440038259799463
01-breathy,2,0.09509458074373525,0,0.4772334596824225,0.969051265564213
01-breathy,2,0.09509458074373525,0,0.4999588625244426,0.9316164622198349
01-breathy,2,0.09509458074373525,0,0.5226842653664627,0.744940641757181
01-breathy,2,0.09509458074373525,0,0.5454096682084828,0.5772045015023837
01-breathy,2,0.09509458074373525,0,0.5681350710505029,0.42931193223943326
01-breathy,2,0.09509458074373525,0,0.590860473892523,0.3527261588368575
01-breathy,2,0.09509458074373525,0,0.6135858767345431,0.2805563236487983
01-breathy,2,0.09509458074373525,0,0.6363112795765633,0.22404215781547965
01-breathy,2,0.09509458074373525,0,0.6590366824185834,0.15492823826370963
01-breathy,2,0.09509458074373525,0,0.6817620852606034,0.14905512161217047
01-breathy,2,0.09509458074373525,0,0.7044874881026236,0.12025786586667593
01-breathy,2,0.09509458074373525,0,0.7272128909446437,0.10051263211459058
01-breathy,2,0.09509458074373525,0,0.7499382937866638,0.07926949639745597
